,category,issueURL
201,Article,https://academic.oup.com/joc/issue/31/4?browseBy=volume
159,Article,https://academic.oup.com/joc/issue/38/4?browseBy=volume
160,Article,https://academic.oup.com/joc/issue/38/3?browseBy=volume
161,Article,https://academic.oup.com/joc/issue/38/2?browseBy=volume
163,Article,https://academic.oup.com/joc/issue/38/1?browseBy=volume
165,Article,https://academic.oup.com/joc/issue/37/4?browseBy=volume
168,Article,https://academic.oup.com/joc/issue/37/3?browseBy=volume
171,Article,https://academic.oup.com/joc/issue/37/2?browseBy=volume
172,Article,https://academic.oup.com/joc/issue/37/1?browseBy=volume
174,Article,https://academic.oup.com/joc/issue/36/4?browseBy=volume
175,Article,https://academic.oup.com/joc/issue/36/3?browseBy=volume
158,Article,https://academic.oup.com/joc/issue/39/1?browseBy=volume
176,Article,https://academic.oup.com/joc/issue/36/2?browseBy=volume
179,Article,https://academic.oup.com/joc/issue/35/4?browseBy=volume
181,Article,https://academic.oup.com/joc/issue/35/3?browseBy=volume
182,Article,https://academic.oup.com/joc/issue/35/2?browseBy=volume
184,Article,https://academic.oup.com/joc/issue/35/1?browseBy=volume
186,Article,https://academic.oup.com/joc/issue/34/4?browseBy=volume
187,Article,https://academic.oup.com/joc/issue/34/3?browseBy=volume
188,Article,https://academic.oup.com/joc/issue/34/2?browseBy=volume
189,Article,https://academic.oup.com/joc/issue/34/1?browseBy=volume
192,Article,https://academic.oup.com/joc/issue/33/3?browseBy=volume
193,Article,https://academic.oup.com/joc/issue/33/2?browseBy=volume
177,Article,https://academic.oup.com/joc/issue/36/1?browseBy=volume
195,Article,https://academic.oup.com/joc/issue/33/1?browseBy=volume
157,Article,https://academic.oup.com/joc/issue/39/2?browseBy=volume
154,Article,https://academic.oup.com/joc/issue/40/2?browseBy=volume
108,Article,https://academic.oup.com/joc/issue/51/3?browseBy=volume
111,Article,https://academic.oup.com/joc/issue/50/4?browseBy=volume
112,Article,https://academic.oup.com/joc/issue/50/3?browseBy=volume
113,Article,https://academic.oup.com/joc/issue/50/2?browseBy=volume
114,Article,https://academic.oup.com/joc/issue/50/1?browseBy=volume
115,Article,https://academic.oup.com/joc/issue/49/4?browseBy=volume
116,Article,https://academic.oup.com/joc/issue/49/3?browseBy=volume
117,Article,https://academic.oup.com/joc/issue/49/2?browseBy=volume
118,Article,https://academic.oup.com/joc/issue/49/1?browseBy=volume
119,Article,https://academic.oup.com/joc/issue/48/4?browseBy=volume
155,Article,https://academic.oup.com/joc/issue/40/1?browseBy=volume
120,Article,https://academic.oup.com/joc/issue/48/3?browseBy=volume
122,Article,https://academic.oup.com/joc/issue/48/1?browseBy=volume
124,Article,https://academic.oup.com/joc/issue/47/2?browseBy=volume
125,Article,https://academic.oup.com/joc/issue/47/1?browseBy=volume
131,Article,https://academic.oup.com/joc/issue/45/3?browseBy=volume
137,Article,https://academic.oup.com/joc/issue/44/1?browseBy=volume
141,Article,https://academic.oup.com/joc/issue/43/1?browseBy=volume
513,Article,https://academic.oup.com/hcr/issue/7/1?browseBy=volume
143,Article,https://academic.oup.com/joc/issue/42/2?browseBy=volume
151,Article,https://academic.oup.com/joc/issue/40/4?browseBy=volume
152,Article,https://academic.oup.com/joc/issue/40/3?browseBy=volume
121,Article,https://academic.oup.com/joc/issue/48/2?browseBy=volume
196,Article,https://academic.oup.com/joc/issue/32/4?browseBy=volume
197,Article,https://academic.oup.com/joc/issue/32/3?browseBy=volume
198,Article,https://academic.oup.com/joc/issue/32/2?browseBy=volume
434,Article,https://academic.oup.com/hcr/issue/26/1?browseBy=volume
432,Article,https://academic.oup.com/hcr/issue/26/2?browseBy=volume
430,Article,https://academic.oup.com/hcr/issue/26/3?browseBy=volume
428,Article,https://academic.oup.com/hcr/issue/26/4?browseBy=volume
427,Article,https://academic.oup.com/hcr/issue/27/1?browseBy=volume
426,Article,https://academic.oup.com/hcr/issue/27/2?browseBy=volume
425,Article,https://academic.oup.com/hcr/issue/27/3?browseBy=volume
424,Article,https://academic.oup.com/hcr/issue/27/4?browseBy=volume
422,Article,https://academic.oup.com/hcr/issue/28/1?browseBy=volume
421,Article,https://academic.oup.com/hcr/issue/28/2?browseBy=volume
436,Article,https://academic.oup.com/hcr/issue/25/4?browseBy=volume
420,Article,https://academic.oup.com/hcr/issue/28/3?browseBy=volume
418,Article,https://academic.oup.com/hcr/issue/29/1?browseBy=volume
417,Article,https://academic.oup.com/hcr/issue/29/2?browseBy=volume
416,Article,https://academic.oup.com/hcr/issue/29/3?browseBy=volume
415,Article,https://academic.oup.com/hcr/issue/29/4?browseBy=volume
414,Article,https://academic.oup.com/hcr/issue/30/1?browseBy=volume
413,Article,https://academic.oup.com/hcr/issue/30/2?browseBy=volume
412,Article,https://academic.oup.com/hcr/issue/30/3?browseBy=volume
411,Article,https://academic.oup.com/hcr/issue/30/4?browseBy=volume
410,Article,https://academic.oup.com/hcr/issue/31/1?browseBy=volume
409,Article,https://academic.oup.com/hcr/issue/31/2?browseBy=volume
419,Article,https://academic.oup.com/hcr/issue/28/4?browseBy=volume
437,Article,https://academic.oup.com/hcr/issue/25/3?browseBy=volume
439,Article,https://academic.oup.com/hcr/issue/25/2?browseBy=volume
440,Article,https://academic.oup.com/hcr/issue/25/1?browseBy=volume
200,Article,https://academic.oup.com/joc/issue/32/1?browseBy=volume
408,Article,https://academic.oup.com/hcr/issue/31/3?browseBy=volume
203,Article,https://academic.oup.com/joc/issue/31/3?browseBy=volume
204,Article,https://academic.oup.com/joc/issue/31/2?browseBy=volume
205,Article,https://academic.oup.com/joc/issue/31/1?browseBy=volume
206,Article,https://academic.oup.com/joc/issue/30/4?browseBy=volume
208,Article,https://academic.oup.com/joc/issue/30/3?browseBy=volume
209,Article,https://academic.oup.com/joc/issue/30/2?browseBy=volume
211,Article,https://academic.oup.com/joc/issue/30/1?browseBy=volume
212,Article,https://academic.oup.com/joc/issue/29/4?browseBy=volume
213,Article,https://academic.oup.com/joc/issue/29/3?browseBy=volume
214,Article,https://academic.oup.com/joc/issue/29/2?browseBy=volume
215,Article,https://academic.oup.com/joc/issue/29/1?browseBy=volume
216,Article,https://academic.oup.com/joc/issue/28/4?browseBy=volume
218,Article,https://academic.oup.com/joc/issue/28/3?browseBy=volume
220,Article,https://academic.oup.com/joc/issue/28/2?browseBy=volume
222,Article,https://academic.oup.com/joc/issue/28/1?browseBy=volume
265,Article,https://academic.oup.com/joc/issue/19/2?browseBy=volume
445,Article,https://academic.oup.com/hcr/issue/23/4?browseBy=volume
444,Article,https://academic.oup.com/hcr/issue/24/1?browseBy=volume
443,Article,https://academic.oup.com/hcr/issue/24/2?browseBy=volume
442,Article,https://academic.oup.com/hcr/issue/24/3?browseBy=volume
441,Article,https://academic.oup.com/hcr/issue/24/4?browseBy=volume
106,Article,https://academic.oup.com/joc/issue/52/1?browseBy=volume
105,Article,https://academic.oup.com/joc/issue/52/2?browseBy=volume
407,Article,https://academic.oup.com/hcr/issue/31/4?browseBy=volume
103,Article,https://academic.oup.com/joc/issue/52/4?browseBy=volume
623,Article,https://academic.oup.com/ct/issue/10/4?browseBy=volume
622,Article,https://academic.oup.com/ct/issue/11/1?browseBy=volume
621,Article,https://academic.oup.com/ct/issue/11/2?browseBy=volume
620,Article,https://academic.oup.com/ct/issue/11/3?browseBy=volume
619,Article,https://academic.oup.com/ct/issue/11/4?browseBy=volume
618,Article,https://academic.oup.com/ct/issue/12/1?browseBy=volume
617,Article,https://academic.oup.com/ct/issue/12/2?browseBy=volume
616,Article,https://academic.oup.com/ct/issue/12/3?browseBy=volume
624,Article,https://academic.oup.com/ct/issue/10/3?browseBy=volume
615,Article,https://academic.oup.com/ct/issue/12/4?browseBy=volume
613,Article,https://academic.oup.com/ct/issue/13/2?browseBy=volume
612,Article,https://academic.oup.com/ct/issue/13/3?browseBy=volume
611,Article,https://academic.oup.com/ct/issue/13/4?browseBy=volume
610,Article,https://academic.oup.com/ct/issue/14/1?browseBy=volume
609,Article,https://academic.oup.com/ct/issue/14/2?browseBy=volume
608,Article,https://academic.oup.com/ct/issue/14/3?browseBy=volume
607,Article,https://academic.oup.com/ct/issue/14/4?browseBy=volume
606,Article,https://academic.oup.com/ct/issue/15/1?browseBy=volume
614,Article,https://academic.oup.com/ct/issue/13/1?browseBy=volume
605,Article,https://academic.oup.com/ct/issue/15/2?browseBy=volume
626,Article,https://academic.oup.com/ct/issue/10/1?browseBy=volume
632,Article,https://academic.oup.com/ct/issue/8/4?browseBy=volume
656,Article,https://academic.oup.com/ct/issue/4/1?browseBy=volume
655,Article,https://academic.oup.com/ct/issue/4/2?browseBy=volume
654,Article,https://academic.oup.com/ct/issue/4/3?browseBy=volume
653,Article,https://academic.oup.com/ct/issue/4/4?browseBy=volume
652,Article,https://academic.oup.com/ct/issue/5/1?browseBy=volume
650,Article,https://academic.oup.com/ct/issue/5/2?browseBy=volume
649,Article,https://academic.oup.com/ct/issue/5/3?browseBy=volume
647,Article,https://academic.oup.com/ct/issue/5/4?browseBy=volume
627,Article,https://academic.oup.com/ct/issue/9/4?browseBy=volume
646,Article,https://academic.oup.com/ct/issue/6/1?browseBy=volume
643,Article,https://academic.oup.com/ct/issue/6/3?browseBy=volume
642,Article,https://academic.oup.com/ct/issue/6/4?browseBy=volume
641,Article,https://academic.oup.com/ct/issue/7/1?browseBy=volume
639,Article,https://academic.oup.com/ct/issue/7/2?browseBy=volume
637,Article,https://academic.oup.com/ct/issue/7/4?browseBy=volume
636,Article,https://academic.oup.com/ct/issue/8/1?browseBy=volume
634,Article,https://academic.oup.com/ct/issue/8/2?browseBy=volume
633,Article,https://academic.oup.com/ct/issue/8/3?browseBy=volume
645,Article,https://academic.oup.com/ct/issue/6/2?browseBy=volume
604,Article,https://academic.oup.com/ct/issue/15/3?browseBy=volume
664,Article,https://academic.oup.com/ct/issue/3/2?browseBy=volume
98,Article,https://academic.oup.com/joc/issue/54/1?browseBy=volume
96,Article,https://academic.oup.com/joc/issue/54/3?browseBy=volume
97,Article,https://academic.oup.com/joc/issue/54/2?browseBy=volume
93,Article,https://academic.oup.com/joc/issue/55/2?browseBy=volume
99,Article,https://academic.oup.com/joc/issue/53/4?browseBy=volume
92,Article,https://academic.oup.com/joc/issue/55/3?browseBy=volume
536,Article,https://academic.oup.com/hcr/issue/1/3?browseBy=volume
91,Article,https://academic.oup.com/joc/issue/55/4?browseBy=volume
95,Article,https://academic.oup.com/joc/issue/54/4?browseBy=volume
681,Article,https://academic.oup.com/ct/issue/1/1?browseBy=volume
94,Article,https://academic.oup.com/joc/issue/55/1?browseBy=volume
777,Article,https://academic.oup.com/jcmc/issue/8/1?browseBy=volume
603,Article,https://academic.oup.com/ct/issue/15/4?browseBy=volume
102,Article,https://academic.oup.com/joc/issue/53/1?browseBy=volume
796,Article,https://academic.oup.com/jcmc/issue/3/2?browseBy=volume
104,Article,https://academic.oup.com/joc/issue/52/3?browseBy=volume
671,Article,https://academic.oup.com/ct/issue/2/2?browseBy=volume
101,Article,https://academic.oup.com/joc/issue/53/2?browseBy=volume
324,Articles,https://academic.oup.com/joc/issue/6/2?browseBy=volume
325,Articles,https://academic.oup.com/joc/issue/6/1?browseBy=volume
286,Articles,https://academic.oup.com/joc/issue/14/1?browseBy=volume
323,Articles,https://academic.oup.com/joc/issue/6/3?browseBy=volume
322,Articles,https://academic.oup.com/joc/issue/6/4?browseBy=volume
326,Articles,https://academic.oup.com/joc/issue/5/4?browseBy=volume
285,Articles,https://academic.oup.com/joc/issue/14/2?browseBy=volume
306,Articles,https://academic.oup.com/joc/issue/10/1?browseBy=volume
287,Articles,https://academic.oup.com/joc/issue/13/4?browseBy=volume
328,Articles,https://academic.oup.com/joc/issue/5/2?browseBy=volume
284,Articles,https://academic.oup.com/joc/issue/14/3?browseBy=volume
283,Articles,https://academic.oup.com/joc/issue/14/4?browseBy=volume
329,Articles,https://academic.oup.com/joc/issue/5/1?browseBy=volume
282,Articles,https://academic.oup.com/joc/issue/15/1?browseBy=volume
281,Articles,https://academic.oup.com/joc/issue/15/2?browseBy=volume
330,Articles,https://academic.oup.com/joc/issue/4/4?browseBy=volume
331,Articles,https://academic.oup.com/joc/issue/4/3?browseBy=volume
332,Articles,https://academic.oup.com/joc/issue/4/2?browseBy=volume
333,Articles,https://academic.oup.com/joc/issue/4/1?browseBy=volume
327,Articles,https://academic.oup.com/joc/issue/5/3?browseBy=volume
288,Articles,https://academic.oup.com/joc/issue/13/3?browseBy=volume
320,Articles,https://academic.oup.com/joc/issue/7/2?browseBy=volume
290,Articles,https://academic.oup.com/joc/issue/13/1?browseBy=volume
307,Articles,https://academic.oup.com/joc/issue/9/4?browseBy=volume
304,Articles,https://academic.oup.com/joc/issue/10/2?browseBy=volume
308,Articles,https://academic.oup.com/joc/issue/9/3?browseBy=volume
303,Articles,https://academic.oup.com/joc/issue/10/3?browseBy=volume
309,Articles,https://academic.oup.com/joc/issue/9/2?browseBy=volume
302,Articles,https://academic.oup.com/joc/issue/10/4?browseBy=volume
301,Articles,https://academic.oup.com/joc/issue/11/1?browseBy=volume
300,Articles,https://academic.oup.com/joc/issue/11/2?browseBy=volume
334,Articles,https://academic.oup.com/joc/issue/3/2?browseBy=volume
476,Articles,https://academic.oup.com/hcr/issue/16/2?browseBy=volume
474,Articles,https://academic.oup.com/hcr/issue/16/4?browseBy=volume
312,Articles,https://academic.oup.com/joc/issue/8/4?browseBy=volume
473,Articles,https://academic.oup.com/hcr/issue/17/1?browseBy=volume
298,Articles,https://academic.oup.com/joc/issue/11/3?browseBy=volume
314,Articles,https://academic.oup.com/joc/issue/8/3?browseBy=volume
315,Articles,https://academic.oup.com/joc/issue/8/2?browseBy=volume
477,Articles,https://academic.oup.com/hcr/issue/16/1?browseBy=volume
296,Articles,https://academic.oup.com/joc/issue/11/4?browseBy=volume
316,Articles,https://academic.oup.com/joc/issue/8/1?browseBy=volume
295,Articles,https://academic.oup.com/joc/issue/12/1?browseBy=volume
478,Articles,https://academic.oup.com/hcr/issue/15/4?browseBy=volume
293,Articles,https://academic.oup.com/joc/issue/12/2?browseBy=volume
479,Articles,https://academic.oup.com/hcr/issue/15/3?browseBy=volume
472,Articles,https://academic.oup.com/hcr/issue/17/2?browseBy=volume
291,Articles,https://academic.oup.com/joc/issue/12/3?browseBy=volume
318,Articles,https://academic.oup.com/joc/issue/7/4?browseBy=volume
319,Articles,https://academic.oup.com/joc/issue/7/3?browseBy=volume
475,Articles,https://academic.oup.com/hcr/issue/16/3?browseBy=volume
321,Articles,https://academic.oup.com/joc/issue/7/1?browseBy=volume
289,Articles,https://academic.oup.com/joc/issue/13/2?browseBy=volume
310,Articles,https://academic.oup.com/joc/issue/9/1?browseBy=volume
464,Articles,https://academic.oup.com/hcr/issue/19/2?browseBy=volume
336,Articles,https://academic.oup.com/joc/issue/2/2?browseBy=volume
669,Articles,https://academic.oup.com/ct/issue/2/3?browseBy=volume
674,Articles,https://academic.oup.com/ct/issue/2/1?browseBy=volume
676,Articles,https://academic.oup.com/ct/issue/1/4?browseBy=volume
678,Articles,https://academic.oup.com/ct/issue/1/3?browseBy=volume
679,Articles,https://academic.oup.com/ct/issue/1/2?browseBy=volume
687,Articles,https://academic.oup.com/jcmc/issue/26/6?browseBy=volume
688,Articles,https://academic.oup.com/jcmc/issue/26/5?browseBy=volume
689,Articles,https://academic.oup.com/jcmc/issue/26/4?browseBy=volume
690,Articles,https://academic.oup.com/jcmc/issue/26/3?browseBy=volume
691,Articles,https://academic.oup.com/jcmc/issue/26/2?browseBy=volume
696,Articles,https://academic.oup.com/jcmc/issue/25/2?browseBy=volume
16,Articles,https://academic.oup.com/joc/issue/69/5?browseBy=volume
697,Articles,https://academic.oup.com/jcmc/issue/25/1?browseBy=volume
698,Articles,https://academic.oup.com/jcmc/issue/24/6?browseBy=volume
699,Articles,https://academic.oup.com/jcmc/issue/24/5?browseBy=volume
815,Articles,https://academic.oup.com/ccc/issue/13/2?browseBy=volume
816,Articles,https://academic.oup.com/ccc/issue/13/1?browseBy=volume
817,Articles,https://academic.oup.com/ccc/issue/12/4?browseBy=volume
818,Articles,https://academic.oup.com/ccc/issue/12/3?browseBy=volume
6,Articles,https://academic.oup.com/joc/issue/71/3?browseBy=volume
5,Articles,https://academic.oup.com/joc/issue/71/4?browseBy=volume
4,Articles,https://academic.oup.com/joc/issue/71/5?browseBy=volume
3,Articles,https://academic.oup.com/joc/issue/71/6?browseBy=volume
2,Articles,https://academic.oup.com/joc/issue/72/1?browseBy=volume
1,Articles,https://academic.oup.com/joc/issue/72/2?browseBy=volume
446,Articles,https://academic.oup.com/hcr/issue/23/4?browseBy=volume
335,Articles,https://academic.oup.com/joc/issue/3/1?browseBy=volume
447,Articles,https://academic.oup.com/hcr/issue/23/3?browseBy=volume
449,Articles,https://academic.oup.com/hcr/issue/23/1?browseBy=volume
337,Articles,https://academic.oup.com/joc/issue/2/1?browseBy=volume
338,Articles,https://academic.oup.com/joc/issue/1/2?browseBy=volume
339,Articles,https://academic.oup.com/joc/issue/1/1?browseBy=volume
471,Articles,https://academic.oup.com/hcr/issue/17/3?browseBy=volume
470,Articles,https://academic.oup.com/hcr/issue/17/4?browseBy=volume
469,Articles,https://academic.oup.com/hcr/issue/18/1?browseBy=volume
468,Articles,https://academic.oup.com/hcr/issue/18/2?browseBy=volume
467,Articles,https://academic.oup.com/hcr/issue/18/3?browseBy=volume
466,Articles,https://academic.oup.com/hcr/issue/18/4?browseBy=volume
465,Articles,https://academic.oup.com/hcr/issue/19/1?browseBy=volume
280,Articles,https://academic.oup.com/joc/issue/15/3?browseBy=volume
463,Articles,https://academic.oup.com/hcr/issue/19/3?browseBy=volume
462,Articles,https://academic.oup.com/hcr/issue/19/4?browseBy=volume
461,Articles,https://academic.oup.com/hcr/issue/20/1?browseBy=volume
460,Articles,https://academic.oup.com/hcr/issue/20/2?browseBy=volume
459,Articles,https://academic.oup.com/hcr/issue/20/3?browseBy=volume
458,Articles,https://academic.oup.com/hcr/issue/20/4?browseBy=volume
457,Articles,https://academic.oup.com/hcr/issue/21/1?browseBy=volume
456,Articles,https://academic.oup.com/hcr/issue/21/2?browseBy=volume
455,Articles,https://academic.oup.com/hcr/issue/21/3?browseBy=volume
454,Articles,https://academic.oup.com/hcr/issue/21/4?browseBy=volume
453,Articles,https://academic.oup.com/hcr/issue/22/1?browseBy=volume
452,Articles,https://academic.oup.com/hcr/issue/22/2?browseBy=volume
451,Articles,https://academic.oup.com/hcr/issue/22/3?browseBy=volume
450,Articles,https://academic.oup.com/hcr/issue/22/4?browseBy=volume
448,Articles,https://academic.oup.com/hcr/issue/23/2?browseBy=volume
279,Articles,https://academic.oup.com/joc/issue/15/4?browseBy=volume
253,Articles,https://academic.oup.com/joc/issue/22/2?browseBy=volume
277,Articles,https://academic.oup.com/joc/issue/16/2?browseBy=volume
149,Articles,https://academic.oup.com/joc/issue/41/1?browseBy=volume
511,Articles,https://academic.oup.com/hcr/issue/7/4?browseBy=volume
510,Articles,https://academic.oup.com/hcr/issue/7/2?browseBy=volume
509,Articles,https://academic.oup.com/hcr/issue/8/1?browseBy=volume
508,Articles,https://academic.oup.com/hcr/issue/8/3?browseBy=volume
507,Articles,https://academic.oup.com/hcr/issue/8/4?browseBy=volume
506,Articles,https://academic.oup.com/hcr/issue/8/2?browseBy=volume
505,Articles,https://academic.oup.com/hcr/issue/9/1?browseBy=volume
504,Articles,https://academic.oup.com/hcr/issue/9/3?browseBy=volume
503,Articles,https://academic.oup.com/hcr/issue/9/4?browseBy=volume
502,Articles,https://academic.oup.com/hcr/issue/9/2?browseBy=volume
501,Articles,https://academic.oup.com/hcr/issue/10/1?browseBy=volume
500,Articles,https://academic.oup.com/hcr/issue/10/2?browseBy=volume
499,Articles,https://academic.oup.com/hcr/issue/10/3?browseBy=volume
625,Articles,https://academic.oup.com/ct/issue/10/2?browseBy=volume
498,Articles,https://academic.oup.com/hcr/issue/10/4?browseBy=volume
497,Articles,https://academic.oup.com/hcr/issue/11/1?browseBy=volume
496,Articles,https://academic.oup.com/hcr/issue/11/2?browseBy=volume
495,Articles,https://academic.oup.com/hcr/issue/11/3?browseBy=volume
638,Articles,https://academic.oup.com/ct/issue/7/3?browseBy=volume
494,Articles,https://academic.oup.com/hcr/issue/11/4?browseBy=volume
493,Articles,https://academic.oup.com/hcr/issue/12/1?browseBy=volume
492,Articles,https://academic.oup.com/hcr/issue/12/2?browseBy=volume
278,Articles,https://academic.oup.com/joc/issue/16/1?browseBy=volume
658,Articles,https://academic.oup.com/ct/issue/3/4?browseBy=volume
148,Articles,https://academic.oup.com/joc/issue/41/2?browseBy=volume
147,Articles,https://academic.oup.com/joc/issue/41/3?browseBy=volume
146,Articles,https://academic.oup.com/joc/issue/41/4?browseBy=volume
