Tier A,Tier B,Tier C
Andorra,Albania,Afghanistan
Antigua and Barbuda,Algeria,Armenia
Aruba,American Samoa,Bangladesh
Australia,Angola,Benin
Austria,Argentina,Bhutan
Bahamas,Azerbaijan,Bolivia
Bahrain,Belarus,Burkina Faso
Barbados,Belize,Burundi
Belgium,Bosnia and Herzegovina,Cabo Verde
Bermuda,Botswana,Cambodia
British Virgin Islands,Brazil,Cameroon
Canada,Bulgaria,Central African Rep.
Cayman Islands,China,Chad
Channel Islands,Colombia,Comoros
Chile,Costa Rica,"Congo, Dem. Rep.of"
Croatia,Cuba,"Congo, Rep.of"
Cyprus,Dominica,Cote d'Ivoire
Czechia,Dominican Republic,Djibouti
Denmark,Ecuador,Egypt
Estonia,Equatorial Guinea,El Salvador
Faroe Islands,Fiji,Eritrea
Finland,Gabon,Ethiopia
France,Georgia,Gambia
French Polynesia,Grenada,Ghana
Germany,Guyana,Guatemala
Greece,"Iran, Islamic Rep.",Guinea
Greenland,Iraq,Guinea-Bisseau
Guam,Jamaica,Haiti
Hong Kong,Jordan,Honduras
Hungary,Kazakhstan,India
Iceland,Lebanon,Indonesia
Ireland,Libya,Kenya
Isle of Man,"Macedonia, FYR",Kiribati
Israel,Malaysia,"Korea, Dem. Rep."
Italy,Maldives,Kosovo
Japan,Marshall Islands,Kyrgyz Republic
"Korea, Republic of",Mauritius,Lao PDR
Kuwait,Mexico,Lesotho
Latvia,Montenegro,Liberia
Liechtenstein,Namibia,Madagascar
Lithuania,Palau,Malawi
Luxembourg,Panama,Mali
Malta,Paraguay,Mauritania
Monaco,Peru,Micronesia Fed.
Nauru,Romania,Moldova
Netherlands,Russian Federation,Mongolia
New Caledonia,Serbia,Morocco
New Zealand,South Africa,Mozambique
Northern Mariana Islands,St. Lucia,Myanmar
Norway,St. Vincent and the Grenadines,Nepal
Oman,Suriname,Nicaragua
Poland,Thailand,Niger
Portugal,Turkey,Nigeria
Puerto Rico,Turkmenistan,Pakistan
Qatar,Tuvalu,Papua New Guinea
San Marino,Venezuela,Philippines
Saudi Arabia,,Rwanda
Seychelles,,Samoa
Singapore,,Sao Tome and Principe
Sint Maarten (Dutch part),,Senegal
Slovak Republic,,Sierra Leone
Slovenia,,Solomon Islands
Spain,,Somalia
St. Kitts and Nevis,,South Sudan
St. Martin (French part),,Sri Lanka
Sweden,,Sudan
Switzerland,,Swaziland
"Taiwan, Province of China",,Syrian Arab Republic
Trinidad and Tobago,,Tajikistan
Turks and Caicos Islands,,Tanzania
United Arab Emirates,,Timor - Leste
United Kingdom,,Togo
United States,,Tonga
Uruguay,,Tunisia
Virgin Islands (U.S.),,Uganda
,,Ukraine
,,Uzbekistan
,,Vanuatu
,,Vietnam
,,West Bank and Gaza
,,"Yemen, Rep."
,,Zambia
,,Zimbabwe