cat,freq,issueURL
Articles,1667,https://academic.oup.com/ccc/issue/12/3?browseBy=volume
Original Articles,1367,https://academic.oup.com/ccc/issue/1/1?browseBy=volume
Article,1120,https://academic.oup.com/jcmc/issue/3/2?browseBy=volume
Original Article,1102,https://academic.oup.com/ccc/issue/9/1?browseBy=volume
Book Reviews,367,https://academic.oup.com/ccc/issue/1/3?browseBy=volume
Research Articles,129,https://academic.oup.com/jcmc/issue/23/2?browseBy=volume
Colloquy,71,https://academic.oup.com/hcr/issue/25/3?browseBy=volume
Editorial,65,https://academic.oup.com/ccc/issue/3/4?browseBy=volume
Original articles,62,https://academic.oup.com/joc/issue/68/1?browseBy=volume
Books,60,https://academic.oup.com/joc/issue/26/2?browseBy=volume
Review Essays,43,https://academic.oup.com/joc/issue/42/2?browseBy=volume
Review Essay,42,https://academic.oup.com/joc/issue/43/2?browseBy=volume
Intercom,40,https://academic.oup.com/joc/issue/25/1?browseBy=volume
ORIGINAL ARTICLE,38,https://academic.oup.com/jcmc/issue/23/1?browseBy=volume
Original article,36,https://academic.oup.com/hcr/issue/44/1?browseBy=volume
Editor's Note,28,https://academic.oup.com/jcmc/issue/23/2?browseBy=volume
Special Section,28,https://academic.oup.com/jcmc/issue/14/3?browseBy=volume
Book Reviews: Online Only,26,https://academic.oup.com/joc/issue/68/3?browseBy=volume
Original Research,24,https://academic.oup.com/hcr/issue/47/4?browseBy=volume
Erratum,24,https://academic.oup.com/ccc/issue/4/4?browseBy=volume
Book Review,22,https://academic.oup.com/ccc/issue/2/3?browseBy=volume
Forum: Academic Life in the Pandemic,22,https://academic.oup.com/ccc/issue/14/2?browseBy=volume
Forum,21,https://academic.oup.com/ccc/issue/15/2?browseBy=volume
Books Received,20,https://academic.oup.com/joc/issue/19/1?browseBy=volume
Reviews,19,https://academic.oup.com/joc/issue/3/1?browseBy=volume
Book Reviews and Notes,18,https://academic.oup.com/joc/issue/9/2?browseBy=volume
Research Notes,17,https://academic.oup.com/hcr/issue/47/4?browseBy=volume
Explicit Sex—Liberation or Exploitation?,15,https://academic.oup.com/joc/issue/26/1?browseBy=volume
Literacy and the Future of Print,14,https://academic.oup.com/joc/issue/30/1?browseBy=volume
Audiences and Institutions,14,https://academic.oup.com/joc/issue/43/4?browseBy=volume
Full-length Research Articles,13,https://academic.oup.com/jcmc/issue/27/1?browseBy=volume
Laughing Matter,13,https://academic.oup.com/joc/issue/26/3?browseBy=volume
intercom,12,https://academic.oup.com/joc/issue/29/1?browseBy=volume
Media and Medicine,12,https://academic.oup.com/joc/issue/25/3?browseBy=volume
Setting the Political Agenda,12,https://academic.oup.com/joc/issue/26/2?browseBy=volume
Research Note,12,https://academic.oup.com/hcr/issue/28/1?browseBy=volume
Presidential Address,12,https://academic.oup.com/joc/issue/56/3?browseBy=volume
General Articles,12,https://academic.oup.com/jcmc/issue/25/3?browseBy=volume
Symposium,11,https://academic.oup.com/joc/issue/37/1?browseBy=volume
Western European Broadcasting in Transition,11,https://academic.oup.com/joc/issue/28/3?browseBy=volume
"The Press, the U.S., and UNESCO",11,https://academic.oup.com/joc/issue/31/4?browseBy=volume
The Diciplinary Status of Communication Research,11,https://academic.oup.com/joc/issue/43/3?browseBy=volume
About the Authors,11,https://academic.oup.com/hcr/issue/1/1?browseBy=volume
"Forum: Digital Cultures of South Asia: Inequalities, Informatization, Infrastructures",11,https://academic.oup.com/ccc/issue/14/3?browseBy=volume
News,11,https://academic.oup.com/joc/issue/4/1?browseBy=volume
Diversity in Broadcasting,11,https://academic.oup.com/joc/issue/28/2?browseBy=volume
Index,11,https://academic.oup.com/ct/issue/16/4?browseBy=volume
Paranormal Communication,11,https://academic.oup.com/joc/issue/25/1?browseBy=volume
The Far North,10,https://academic.oup.com/joc/issue/27/4?browseBy=volume
Introduction,10,https://academic.oup.com/ccc/issue/13/2?browseBy=volume
From the Editor,10,https://academic.oup.com/joc/issue/18/1?browseBy=volume
Symposium: Communication Scholarship and Political Correctness,10,https://academic.oup.com/joc/issue/42/2?browseBy=volume
The “New Technology”,10,https://academic.oup.com/joc/issue/32/4?browseBy=volume
Forum: The Handmaid's Tale,10,https://academic.oup.com/ccc/issue/11/1?browseBy=volume
The Living McLuhan,10,https://academic.oup.com/joc/issue/31/3?browseBy=volume
The Politics of Language,10,https://academic.oup.com/joc/issue/29/2?browseBy=volume
Book Reviews: Online only,10,https://academic.oup.com/joc/issue/72/2?browseBy=volume
Forms of Cultural Dependency,10,https://academic.oup.com/joc/issue/25/2?browseBy=volume
Acknowledgment,9,https://academic.oup.com/hcr/issue/24/1?browseBy=volume
Editorial Guidelines,9,https://academic.oup.com/ct/issue/14/1?browseBy=volume
"Science: News, Controversy, Drama",9,https://academic.oup.com/joc/issue/31/2?browseBy=volume
Symposium: Journalism in Crisis and Change,9,https://academic.oup.com/joc/issue/42/3?browseBy=volume
The U.S. Faces WARC,9,https://academic.oup.com/joc/issue/29/1?browseBy=volume
Marriage and the Family,9,https://academic.oup.com/joc/issue/32/3?browseBy=volume
Public Broadcasting,9,https://academic.oup.com/joc/issue/30/3?browseBy=volume
Forum: #MeToo: Sexual Harassment in Academe,8,https://academic.oup.com/ccc/issue/11/3?browseBy=volume
Homo Narrans,8,https://academic.oup.com/joc/issue/34/1?browseBy=volume
Sesame Street Around the World,8,https://academic.oup.com/joc/issue/26/2?browseBy=volume
Errata,8,https://academic.oup.com/jcmc/issue/24/4?browseBy=volume
Book Received,8,https://academic.oup.com/joc/issue/19/2?browseBy=volume
Call for Papers,8,https://academic.oup.com/ct/issue/13/4?browseBy=volume
"Notes, Quotes, and Anecdotes",8,https://academic.oup.com/joc/issue/6/2?browseBy=volume
The Forum,8,https://academic.oup.com/joc/issue/9/1?browseBy=volume
"New Directions, New Agendas",8,https://academic.oup.com/joc/issue/43/3?browseBy=volume
What IS News?,8,https://academic.oup.com/joc/issue/26/4?browseBy=volume
"Sex, Violence, and the Rules of the Game",8,https://academic.oup.com/joc/issue/27/2?browseBy=volume
Book Review Section,8,https://academic.oup.com/joc/issue/18/2?browseBy=volume
Experiments in Interactive Cable TV,8,https://academic.oup.com/joc/issue/28/2?browseBy=volume
Symposium: Horizons of the State: Information Policy and Power,8,https://academic.oup.com/joc/issue/45/4?browseBy=volume
Transborder Data Flow: New Frontiers—Or None?,8,https://academic.oup.com/joc/issue/29/3?browseBy=volume
Satellite Broadcasting and Communications Policy,8,https://academic.oup.com/joc/issue/30/2?browseBy=volume
Forum: Media and Populism,7,https://academic.oup.com/ccc/issue/13/1?browseBy=volume
Covering the Political Campaign,7,https://academic.oup.com/joc/issue/28/4?browseBy=volume
Teleconferencing,7,https://academic.oup.com/joc/issue/28/3?browseBy=volume
Social Research on Broadcasting,7,https://academic.oup.com/joc/issue/28/2?browseBy=volume
Media Politics,7,https://academic.oup.com/joc/issue/30/4?browseBy=volume
Growing Up With Television,7,https://academic.oup.com/joc/issue/29/3?browseBy=volume
Media Effects on the Young,7,https://academic.oup.com/joc/issue/34/2?browseBy=volume
Telecommunications Development: The U.S. Effort,7,https://academic.oup.com/joc/issue/35/2?browseBy=volume
The Information Society,7,https://academic.oup.com/joc/issue/31/1?browseBy=volume
Communication in Infancy and Early Childhood,7,https://academic.oup.com/joc/issue/27/2?browseBy=volume
When Cultures Clash,7,https://academic.oup.com/joc/issue/27/2?browseBy=volume
How TV Sells Children,7,https://academic.oup.com/joc/issue/27/1?browseBy=volume
The Television Audience,7,https://academic.oup.com/joc/issue/36/3?browseBy=volume
Social Approaches,7,https://academic.oup.com/ct/issue/2/2?browseBy=volume
Commentary,7,https://academic.oup.com/ct/issue/25/3?browseBy=volume
Forum: Prying the Doors Open: Women of Color Mentoring in the Field of Communication,7,https://academic.oup.com/ccc/issue/14/4?browseBy=volume
Symposium: Virtual Reality: A Communication Perspective,7,https://academic.oup.com/joc/issue/42/4?browseBy=volume
Connecting Communication Scholarship to Public Policy,7,https://academic.oup.com/joc/issue/43/3?browseBy=volume
Editorial Consultants Acknowledged,7,https://academic.oup.com/joc/issue/47/1?browseBy=volume
Symposium: Images in Retrospect,7,https://academic.oup.com/joc/issue/45/2?browseBy=volume
Symposium: Dynamic Social Impact Theory and Communication,7,https://academic.oup.com/joc/issue/46/4?browseBy=volume
Briefly noted,7,https://academic.oup.com/joc/issue/31/1?browseBy=volume
Sports: The Medium is the Stadium,6,https://academic.oup.com/joc/issue/27/3?browseBy=volume
What Does ‘She’ Mean?,6,https://academic.oup.com/joc/issue/28/1?browseBy=volume
Notable Quotes,6,https://academic.oup.com/joc/issue/21/2?browseBy=volume
Symposium: The Net,6,https://academic.oup.com/joc/issue/46/1?browseBy=volume
Guest Editorial,6,https://academic.oup.com/joc/issue/10/3?browseBy=volume
Corrigendum,6,https://academic.oup.com/jcmc/issue/27/3?browseBy=volume
Comparative Theory,6,https://academic.oup.com/ct/issue/1/1?browseBy=volume
Nonverbal Communication,6,https://academic.oup.com/joc/issue/26/3?browseBy=volume
Satellites for Rural Development,6,https://academic.oup.com/joc/issue/29/4?browseBy=volume
Growing Older: Perceptions and Representations,6,https://academic.oup.com/joc/issue/30/1?browseBy=volume
Economic Trends in the Print Industry,6,https://academic.oup.com/joc/issue/30/2?browseBy=volume
Critical TV Viewing,6,https://academic.oup.com/joc/issue/30/3?browseBy=volume
Special Commentary Section,6,https://academic.oup.com/ct/issue/32/2?browseBy=volume
Correction,6,https://academic.oup.com/ccc/issue/15/2?browseBy=volume
Communicating Risk: The Media and the Public,6,https://academic.oup.com/joc/issue/37/3?browseBy=volume
The Mediated Ministry,6,https://academic.oup.com/joc/issue/35/1?browseBy=volume
Comment/Critique,6,https://academic.oup.com/ccc/issue/4/1?browseBy=volume
Music Videos,6,https://academic.oup.com/joc/issue/36/1?browseBy=volume
Book Review Essay,6,https://academic.oup.com/ct/issue/8/2?browseBy=volume
"Computers, Education, and Public Policy",6,https://academic.oup.com/joc/issue/33/1?browseBy=volume
The Marketplace of Ideas Revisited,6,https://academic.oup.com/joc/issue/35/3?browseBy=volume
Forum: Tiger King,5,https://academic.oup.com/ccc/issue/13/4?browseBy=volume
On Masculinity,5,https://academic.oup.com/ct/issue/8/2?browseBy=volume
Symposium: Communication in China,5,https://academic.oup.com/joc/issue/44/3?browseBy=volume
Technological Alternatives to Information Inequity,5,https://academic.oup.com/joc/issue/39/3?browseBy=volume
Studies on Sex and Violence,5,https://academic.oup.com/joc/issue/34/3?browseBy=volume
Special Issue Articles,5,https://academic.oup.com/ct/issue/17/1?browseBy=volume
War in Peace: Public Discourse in the Nuclear Age,5,https://academic.oup.com/joc/issue/39/1?browseBy=volume
Effects of Television,5,https://academic.oup.com/joc/issue/27/3?browseBy=volume
Symposium: Intellectual Roots of Communication Research,5,https://academic.oup.com/joc/issue/46/3?browseBy=volume
Ethnic Studies in Black and White,5,https://academic.oup.com/joc/issue/29/1?browseBy=volume
Symposium: Biology and Communication,5,https://academic.oup.com/joc/issue/46/3?browseBy=volume
FORUM,5,https://academic.oup.com/ct/issue/3/2?browseBy=volume
The Rhetoric of Revolt,5,https://academic.oup.com/joc/issue/26/4?browseBy=volume
Equality in Advertising,5,https://academic.oup.com/joc/issue/26/4?browseBy=volume
"Forum: #CommunicationSoWhite: Practice, Pedagogy, Politics",5,https://academic.oup.com/ccc/issue/13/2?browseBy=volume
Reserarch Articles,5,https://academic.oup.com/joc/issue/47/3?browseBy=volume
World Communication,5,https://academic.oup.com/joc/issue/28/4?browseBy=volume
Symposium: Focus on Latin America,5,https://academic.oup.com/joc/issue/44/4?browseBy=volume
The Academic Wars,5,https://academic.oup.com/joc/issue/43/4?browseBy=volume
Research Article,5,https://academic.oup.com/joc/issue/42/3?browseBy=volume
Measuring Media Influence,5,https://academic.oup.com/joc/issue/31/1?browseBy=volume
"Symposium: Communication Theory, Mathematical Models, and Social Policy",5,https://academic.oup.com/joc/issue/43/1?browseBy=volume
Reports,5,https://academic.oup.com/joc/issue/7/4?browseBy=volume
Books in Brief,5,https://academic.oup.com/joc/issue/42/2?browseBy=volume
The Social Meanings of Art,5,https://academic.oup.com/joc/issue/29/4?browseBy=volume
The New Telecommunications Marketplace,5,https://academic.oup.com/joc/issue/37/1?browseBy=volume
Third World News and Views,5,https://academic.oup.com/joc/issue/29/2?browseBy=volume
Strategies of Deception,4,https://academic.oup.com/joc/issue/30/2?browseBy=volume
Book Review: Online only,4,https://academic.oup.com/joc/issue/71/3?browseBy=volume
Colloque,4,https://academic.oup.com/joc/issue/26/3?browseBy=volume
Of Cultural Import,4,https://academic.oup.com/joc/issue/41/1?browseBy=volume
Book Review: Online Only,4,https://academic.oup.com/joc/issue/70/5?browseBy=volume
Essay Review,4,https://academic.oup.com/joc/issue/29/2?browseBy=volume
Symposium: Making and Remaking Communications Policy,4,https://academic.oup.com/joc/issue/42/1?browseBy=volume
Specifying the ELM,4,https://academic.oup.com/ct/issue/3/1?browseBy=volume
Dramatic Functions of Press Coverage,4,https://academic.oup.com/joc/issue/32/2?browseBy=volume
Citizen Action,4,https://academic.oup.com/joc/issue/27/1?browseBy=volume
Daytime Serial Drama: The Continuing Story,4,https://academic.oup.com/joc/issue/31/3?browseBy=volume
Review Articles,4,https://academic.oup.com/joc/issue/47/4?browseBy=volume
Symposium: Agenda Setting Revisited,4,https://academic.oup.com/joc/issue/43/2?browseBy=volume
Acknowledgement,4,https://academic.oup.com/hcr/issue/23/1?browseBy=volume
Book reviews,4,https://academic.oup.com/ct/issue/11/3?browseBy=volume
New Approaches to Development,4,https://academic.oup.com/joc/issue/28/1?browseBy=volume
The Social Construction of Information Poverty,4,https://academic.oup.com/joc/issue/39/3?browseBy=volume
Communication in Organizations,4,https://academic.oup.com/joc/issue/28/1?browseBy=volume
Daytime Serial Drama,4,https://academic.oup.com/joc/issue/29/4?browseBy=volume
Obstacles to Information Equity,4,https://academic.oup.com/joc/issue/39/3?browseBy=volume
Editor’s Note,4,https://academic.oup.com/hcr/issue/12/4?browseBy=volume
TV News,4,https://academic.oup.com/joc/issue/27/4?browseBy=volume
The social Distribution of the New Technologies,4,https://academic.oup.com/joc/issue/39/3?browseBy=volume
colloquy,4,https://academic.oup.com/joc/issue/25/1?browseBy=volume
Women in Detective Fiction,3,https://academic.oup.com/joc/issue/25/2?browseBy=volume
Editor’s Foreword,3,https://academic.oup.com/hcr/issue/1/1?browseBy=volume
Replication Note,3,https://academic.oup.com/hcr/issue/48/1?browseBy=volume
After Thirty Years—Détente?,3,https://academic.oup.com/joc/issue/26/1?browseBy=volume
Is Media Research Prescientific?,3,https://academic.oup.com/ct/issue/5/3?browseBy=volume
ERRATUM,3,https://academic.oup.com/ct/issue/28/1?browseBy=volume
Violence on the Screen,3,https://academic.oup.com/joc/issue/28/3?browseBy=volume
IPDC in Mexico: U.S.-UNESCO Turning Point?,3,https://academic.oup.com/joc/issue/32/3?browseBy=volume
The Search for a Usable History,3,https://academic.oup.com/joc/issue/43/4?browseBy=volume
Inside China: Communications after the Cultural Revolution,3,https://academic.oup.com/joc/issue/31/4?browseBy=volume
International News,3,https://academic.oup.com/joc/issue/27/1?browseBy=volume
CB in Perspective,3,https://academic.oup.com/joc/issue/27/3?browseBy=volume
Acknowledgments,3,https://academic.oup.com/joc/issue/41/4?browseBy=volume
Communication and Tradition in Revolutions,3,https://academic.oup.com/joc/issue/29/3?browseBy=volume
Symposium: Television News and Its Dis-Contents,3,https://academic.oup.com/joc/issue/42/2?browseBy=volume
"Symposium Communication, Culture, and Identity",3,https://academic.oup.com/joc/issue/43/2?browseBy=volume
Testing Geographical Bias in International News,2,https://academic.oup.com/joc/issue/36/2?browseBy=volume
Review,2,https://academic.oup.com/joc/issue/36/4?browseBy=volume
Sodal Science and Pornography,2,https://academic.oup.com/joc/issue/38/2?browseBy=volume
Editor's Foreword,2,https://academic.oup.com/hcr/issue/24/4?browseBy=volume
In Appreciation,2,https://academic.oup.com/joc/issue/38/4?browseBy=volume
Research on Television and the Young,2,https://academic.oup.com/joc/issue/26/2?browseBy=volume
BOOK REVIEWS,2,https://academic.oup.com/ct/issue/28/2?browseBy=volume
news,2,https://academic.oup.com/joc/issue/6/1?browseBy=volume
The Complicity of Essentializing Difference,2,https://academic.oup.com/ct/issue/7/2?browseBy=volume
Compliance Gaining,2,https://academic.oup.com/ct/issue/4/1?browseBy=volume
Brief Essay,2,https://academic.oup.com/ct/issue/1/4?browseBy=volume
Editor's note,2,https://academic.oup.com/joc/issue/47/1?browseBy=volume
Book-Reviews,2,https://academic.oup.com/joc/issue/63/2?browseBy=volume
Commentaries: Online Only,2,https://academic.oup.com/joc/issue/68/3?browseBy=volume
Corrigenda,2,https://academic.oup.com/joc/issue/72/1?browseBy=volume
Notice,2,https://academic.oup.com/joc/issue/45/4?browseBy=volume
A Note from the Editor,2,https://academic.oup.com/hcr/issue/4/3?browseBy=volume
Media Fantasies,2,https://academic.oup.com/joc/issue/33/1?browseBy=volume
Fostering Creativity in Children,2,https://academic.oup.com/joc/issue/26/3?browseBy=volume
Editorial Note,2,https://academic.oup.com/ct/issue/3/2?browseBy=volume
The Historical Perspective,2,https://academic.oup.com/joc/issue/26/3?browseBy=volume
Can People Affect Television?,2,https://academic.oup.com/joc/issue/28/1?browseBy=volume
What Does “She” Mean?,2,https://academic.oup.com/joc/issue/28/1?browseBy=volume
Media Language,2,https://academic.oup.com/joc/issue/25/2?browseBy=volume
1996 ICA Presidential Address,1,https://academic.oup.com/joc/issue/47/1?browseBy=volume
Expression of Concern,1,https://academic.oup.com/jcmc/issue/27/1?browseBy=volume
Visible Audibles,1,https://academic.oup.com/ct/issue/1/1?browseBy=volume
Poem,1,https://academic.oup.com/ct/issue/1/3?browseBy=volume
Revolution,1,https://academic.oup.com/joc/issue/26/4?browseBy=volume
Critical Essay,1,https://academic.oup.com/ct/issue/2/3?browseBy=volume
1997 Presidential Address,1,https://academic.oup.com/joc/issue/47/4?browseBy=volume
Editor' Note,1,https://academic.oup.com/joc/issue/47/1?browseBy=volume
Announcement,1,https://academic.oup.com/ct/issue/3/1?browseBy=volume
Friendship Matters,1,https://academic.oup.com/ct/issue/3/2?browseBy=volume
Digital Asymmetries in Transnational Communication,1,https://academic.oup.com/jcmc/issue/25/6?browseBy=volume
New Books in Communications,1,https://academic.oup.com/joc/issue/24/1?browseBy=volume
BOOK REVIEW,1,https://academic.oup.com/ct/issue/7/2?browseBy=volume
Editorial Announcement,1,https://academic.oup.com/joc/issue/46/3?browseBy=volume
Editorial Announcements,1,https://academic.oup.com/joc/issue/46/2?browseBy=volume
1998 ICA Presidential Address,1,https://academic.oup.com/joc/issue/48/4?browseBy=volume
Book review ethics,1,https://academic.oup.com/joc/issue/35/3?browseBy=volume
Online Social Regulation,1,https://academic.oup.com/jcmc/issue/25/6?browseBy=volume
Interview Essay,1,https://academic.oup.com/ccc/issue/13/2?browseBy=volume
Editor’s Introduction,1,https://academic.oup.com/ccc/issue/1/1?browseBy=volume
Invited Review,1,https://academic.oup.com/ccc/issue/2/3?browseBy=volume
Book Notes,1,https://academic.oup.com/joc/issue/26/1?browseBy=volume
Retraction,1,https://academic.oup.com/ccc/issue/10/1?browseBy=volume
Special Issue: Media and the Extreme Right,1,https://academic.oup.com/ccc/issue/11/1?browseBy=volume
Afterword,1,https://academic.oup.com/joc/issue/64/2?browseBy=volume
Special Issue: Value Added: Reconsidering Women-Centered Media and Viewership,1,https://academic.oup.com/ccc/issue/12/2?browseBy=volume
Review essay,1,https://academic.oup.com/joc/issue/61/1?browseBy=volume
FOREIGN ABSTRACTS,1,https://academic.oup.com/joc/issue/57/2?browseBy=volume
Guest Editor's Introduction,1,https://academic.oup.com/ct/issue/9/4?browseBy=volume
2002 ICA Presidential Address,1,https://academic.oup.com/joc/issue/53/1?browseBy=volume
Authors response,1,https://academic.oup.com/joc/issue/50/2?browseBy=volume
1999 ICA Presidential Address,1,https://academic.oup.com/joc/issue/49/4?browseBy=volume
Message Board,1,https://academic.oup.com/jcmc/issue/8/1?browseBy=volume
Review Editor's Note,1,https://academic.oup.com/joc/issue/49/4?browseBy=volume
Retraction Statement: Antecedents and Consequences of Gender Swapping in Online Games,1,https://academic.oup.com/jcmc/issue/22/1?browseBy=volume
Explicating Affordances: a Conceptual Framework for Understanding Affordances in Communication Research,1,https://academic.oup.com/jcmc/issue/22/1?browseBy=volume
Reflecting on Connecting: Meta-Analysis of Differences between Computer-Mediated and Face-to-Face Self-Disclosure,1,https://academic.oup.com/jcmc/issue/22/1?browseBy=volume
Why We Don’t Click,1,https://academic.oup.com/jcmc/issue/25/6?browseBy=volume
Postscript,1,https://academic.oup.com/ct/issue/12/3?browseBy=volume
Call For Papers,1,https://academic.oup.com/ct/issue/16/1?browseBy=volume
"We Go, but Too Slowly",1,https://academic.oup.com/joc/issue/9/4?browseBy=volume
Public Broadcasting: A Bibliography,1,https://academic.oup.com/joc/issue/30/3?browseBy=volume
Editor's comment,1,https://academic.oup.com/hcr/issue/27/1?browseBy=volume
Research note,1,https://academic.oup.com/hcr/issue/27/2?browseBy=volume
Editor’s Comment,1,https://academic.oup.com/hcr/issue/30/1?browseBy=volume
Government—Media—Audiences,1,https://academic.oup.com/joc/issue/38/3?browseBy=volume
Mariage and the Family,1,https://academic.oup.com/joc/issue/32/3?browseBy=volume
International Telecommunications: What Price Policy?,1,https://academic.oup.com/joc/issue/38/1?browseBy=volume
Empirical Note,1,https://academic.oup.com/hcr/issue/47/4?browseBy=volume
Reviewer Acknowledgement,1,https://academic.oup.com/hcr/issue/48/2?browseBy=volume
Regular Articles,1,https://academic.oup.com/ct/issue/17/1?browseBy=volume
Publications Received,1,https://academic.oup.com/joc/issue/9/3?browseBy=volume
Communication Problems at Mid-Century,1,https://academic.oup.com/joc/issue/1/1?browseBy=volume
Reports of Study and Research Committees,1,https://academic.oup.com/joc/issue/4/2?browseBy=volume
Review Article,1,https://academic.oup.com/joc/issue/4/3?browseBy=volume
The National Society for the Study of Communication,1,https://academic.oup.com/joc/issue/6/2?browseBy=volume
A Reply to Mr. Drum'S Reply,1,https://academic.oup.com/joc/issue/6/3?browseBy=volume
The Logical Animal,1,https://academic.oup.com/joc/issue/6/3?browseBy=volume
Postscripts and Queries,1,https://academic.oup.com/joc/issue/6/4?browseBy=volume
Editors' Foreword,1,https://academic.oup.com/hcr/issue/24/3?browseBy=volume
Colloquium: Assessing Conversational Cognitions,1,https://academic.oup.com/hcr/issue/18/4?browseBy=volume
In Memoriam,1,https://academic.oup.com/hcr/issue/17/2?browseBy=volume
"Other Places, Other Times",1,https://academic.oup.com/joc/issue/14/3?browseBy=volume
Special Book Review Section,1,https://academic.oup.com/joc/issue/22/4?browseBy=volume
Foreign Abstracts,1,https://academic.oup.com/ct/issue/17/2?browseBy=volume
Symposium: Books on Books on Books…,1,https://academic.oup.com/joc/issue/44/1?browseBy=volume
CORRIGENDUM,1,https://academic.oup.com/ct/issue/28/3?browseBy=volume
The Development Set,1,https://academic.oup.com/joc/issue/28/1?browseBy=volume
Issue Bibliography,1,https://academic.oup.com/joc/issue/18/3?browseBy=volume
UNESCO's Mass Media Declaration: A Forum of Three Worlds,1,https://academic.oup.com/joc/issue/29/2?browseBy=volume
Science and the News,1,https://academic.oup.com/joc/issue/40/4?browseBy=volume
Reviewe,1,https://academic.oup.com/joc/issue/40/1?browseBy=volume
Setting the Political Agenda: Government by Media?,1,https://academic.oup.com/joc/issue/26/2?browseBy=volume
Goals and Guidelines from the New Editor,1,https://academic.oup.com/hcr/issue/6/3?browseBy=volume
A Final Note from the Editor,1,https://academic.oup.com/hcr/issue/6/4?browseBy=volume
Editor's Comment,1,https://academic.oup.com/hcr/issue/10/1?browseBy=volume
Note to Contributors,1,https://academic.oup.com/hcr/issue/12/3?browseBy=volume
Local Radio,1,https://academic.oup.com/joc/issue/40/1?browseBy=volume
Colloquy on Item Desirability,1,https://academic.oup.com/hcr/issue/15/1?browseBy=volume
Symposium on Mass and Interpersonal Communication,1,https://academic.oup.com/hcr/issue/15/2?browseBy=volume
Contributors’ Biographies,1,https://academic.oup.com/ccc/issue/1/1?browseBy=volume
