haley,michelle,jeff,jongmin,jaemin,matthew
M,M,M,M,M,M
M,M,M,M,M,M
M,M,M,M,M,M
M,M,M,M,M,M
M,M,M,M,M,M
M,M,M,M,M,M
M,M,M,M,M,M
F,F,F,F,F,F
M,M,M,M,M,M
M,M,M,M,M,M
M,M,M,M,M,M
M,M,M,M,M,M
M,M,M,M,M,M
M,M,M,M,M,M
M,M,M,M,M,M
F,F,F,F,F,F
F,F,F,F,F,F
M,M,M,M,F,M
M,M,M,M,M,M
M,M,M,M,M,M
M,M,M,M,M,M
M,M,M,M,M,M
F,F,F,F,F,F
F,F,F,F,F,F
F,F,F,F,F,F
F,F,F,F,F,F
F,F,F,F,F,F
M,M,M,M,M,M
M,M,M,M,M,M
M,M,M,M,M,M
F,F,F,F,F,F
M,M,M,M,M,M
M,M,M,M,M,M
M,M,M,M,M,M
M,M,M,M,M,M
M,M,M,M,M,M
M,M,M,M,M,M
M,M,M,M,M,M
F,F,F,F,F,F
M,M,M,M,M,M
F,F,F,F,F,F
F,F,F,F,F,F
F,F,F,F,F,F
M,M,M,M,M,M
F,F,F,F,F,F
F,M,M,M,M,M
M,M,M,M,M,M
M,M,M,M,M,M
M,F,F,F,M,F
N,N,F,F,F,NB
F,F,F,F,F,F
M,M,M,M,M,M
M,M,M,M,M,M
M,M,M,M,M,M
M,M,M,M,M,M
F,F,F,F,F,F
F,F,F,F,F,F
M,M,M,M,M,M
M,M,M,M,M,M
F,F,M,M,F,F
M,M,M,M,M,M
F,F,F,F,F,F
F,F,F,F,F,F
F,F,F,F,F,F
F,F,F,F,F,F
M,M,M,M,M,M
F,F,F,F,F,F
F,F,F,F,F,F
M,M,M,M,M,M
M,M,M,M,M,M
M,M,M,M,M,M
M,M,M,M,M,M
M,M,M,M,M,M
F,F,F,F,F,F
M,M,M,M,M,M
M,M,M,M,M,M
M,M,M,M,M,M
F,F,F,F,F,F
F,F,M,F,F,F
F,F,F,F,F,F
M,M,M,M,M,M
M,M,M,M,M,M
M,M,M,M,M,M
M,M,M,M,M,M
F,F,F,F,F,F
M,M,M,M,M,M
M,M,M,M,M,M
M,M,M,M,M,M
F,F,F,F,F,F
M,M,M,M,M,M
M,M,M,M,M,M
F,F,F,F,F,F
F,F,F,F,F,F
F,F,F,F,F,F
M,M,M,M,M,M
M,M,M,M,M,M
M,M,M,M,M,M
F,F,F,F,F,F
M,M,M,M,M,M
M,M,M,M,M,M